Part,Description,Bin,Stock Max,ROP,On Hand,On Order,Qty Sugg,Status,Avg Month,Hi Mth,Lo Mth
281134D000,FILTER-AIR CLEANER                 ,415,0,0,2,0,0,Non,0.17,1,0
28113A9100,FILTER-AIR CLEANER                 ,413,5,4,28,0,0,Actv,5,17,1
28113AA670,FILTER-AIR CLEANER                 ,410,1,1,16,0,1,Actv,0.67,2,0
28113B1000,FILTER-AIR CLEANER                 ,415,0,0,3,0,0,Non,0,0,0
28113BE000,FILTER-AIR CLEANER                 ,411,1,1,3,0,0,Actv,0.67,2,0
28113BY100AS,FILTER-AIR CLEANER                 ,414,0,0,5,0,0,Non,0,0,0
28113C1100,FILTER-AIR CLEANER                 ,412,1,1,1,0,0,Actv,0.5,1,0
28113D3300,FILTER-AIR CLEANER                 ,413,2,2,7,0,0,Actv,1,2,0
28113DU000,FILTER-AIR CLEANER                 ,415,0,0,3,0,0,Non,0,0,0
28113F2000,FILTER-AIR CLEANER                 ,413,2,2,2,0,2,Actv,1.17,3,0
28113G2700,FILTER-AIR CLEANER                 ,410,0,0,3,0,0,Non,0.17,1,0
28113H8100,FILTER-AIR CLEANER                 ,412,0,0,5,0,0,Non,0.17,1,0
28113IB000,FILTER-AIR CLEANER                 ,411,0,0,2,0,0,Non,0,0,0
28113K2100,FILTER-AIR CLEANER                 ,413,0,0,7,0,0,Non,0.17,1,0
